id,x0,x1,uri
0,26.1529656584,3.83010808345,BM 010 Pneumatik-Hauptventil einschalten mit Taster 'Ein'!
1,25.8224429346,0.212513340275,BM 011 St?rung: Druckluftversorgung fehlt ! Kein Druck am Druckw?chter 1!
2,22.630036545,-1.12080347477,BM 020 Schutzt?re S41 vorne links nicht geschlossen
3,22.9052932808,1.23596291293,BM 103 FE2:  Meister-WT f?r Laserref. in Station einsetzen
4,23.5754329643,4.95634275717,"BM 103 FE2: Typkontrolle 1-polig, Geh?useboden passt nicht zur eingestellten Variante."
5,17.6070140251,14.1890815952,BM 104 FE2: F?llstand Topf 1-polig fehlt!
6,26.5239519822,2.90172005151,BM 104 FE2: Schieberstellung T?pfe NC Falsch
7,24.2140241161,7.22526270426,BM 105 FE2: Achse M9 RDF Schieber Z-Hub nicht betriebsbereit
8,27.3347375828,5.76206441623,BM 105 FE2: F?llstand Topf Kontakt 1
9,25.1217265515,6.76890703353,BM 106 FE2: F?llstand Topf Kontakt 2
10,17.5931365736,14.2177298292,BM 106 FE2: Stau Minimum Geh?useboden 1-polig fehlt!
11,25.0981704354,3.3407862029,BM 107 FE2: Achse M9 RDF Schieber Z-Hub St?rung Nr. \01 \02
12,17.5833854092,14.2396152183,BM 107 FE2: Endlage Geh?useboden 1-polig fehlt!
13,25.0228026055,4.61402282094,BM 108 FE2: IO-Kiste befindet sich nicht auf dem F?rderband
14,26.016774998,8.41611208531,BM 109 FE2: Minimum Stau fehlt  (20+2-B9)
15,23.8857103507,1.97524093357,BM 111  FE2: Falscher Schieber in Endlage
16,21.8499890269,-1.26354005594,BM 111 FE2: Kontakt fehlt in Endlage (20+2-B1)
17,23.4206102492,-0.420036373953,BM 112 FE2: Kontakt fehlt in Endlage (20+2-B11)
18,7.03806885951,9.91314388826,BM 112 FE2: Schieber NiO -> Schieber entnehmen und Anlage R?ckf?hren
19,22.6629476363,8.09955258343,BM 114 FE2: Schott Einlauf nicht geschlossen
20,22.1241273239,2.56712573448,BM 115 FE2: Schott Auslauf nicht geschlossen
21,4.39545094025,-7.04388851486,BM 122 FE3: Keine Transportkiste am F?rderband bei iO Auswurf
22,22.2829959992,0.0581259670483,BM 122 FE3: Warte auf Feder im Federnest
23,17.6722683944,14.0437799135,BM 122 FE3: min. F?llstand Topf unterschritten (200+3-B7)
24,23.7044978751,1.34414214509,BM 123 FE3: Keine Transportkiste am F?rderband vor iO Auswurf
25,16.5589493203,0.408069903093,BM 124 FE3: Stau nach FE3 !
26,23.7940356925,0.454153561496,BM 127 FE3: NiO Kisten leeren und Z?hler-Kisten auf 0 stellen
27,20.6351314187,-2.2137068405,BM 132 FE11: min. Stau fehlt (200+3-B6)
28,-5.50022950629,-7.0533224874,BM 141 FE2: M10 X-Achse ist nicht in Position St?rung
29,26.2906572623,6.69085151437,BM 141 FE3: St?rung Deckel mit Vakuumschalter
30,23.7887782881,9.95386426456,BM 165 FE4: Deckel 1-polig F?llstand Topf fehlt (70+4-B28)
31,23.5511820364,3.66738177932,BM 166 FE4: Deckel 1-polig Maximum-Stau fehlt (70+4-B26)
32,21.7619982831,1.65611233207,BM 167 FE4: Deckel 1-polig Minimum-Stau fehlt (70+4-B25)
33,21.6389911786,2.02897587808,BM 182 FE5: Vereinzelner Federn 1polig min. Stau !
34,18.2292578391,4.6019488401,BM 182 FE5: Vereinzelner NC Federn min. Stau !
35,10.404596918,4.98625936928,BM 183 FE5: Vereinzelner Federn 1polig Deckel AUF !
36,18.3654424691,-1.57162856616,BM 20 Schutzt?re S41 vorne links nicht geschlossen
37,-4.80532806767,2.19022936808,BM 21 Schutzt?re S42 vorne mitte nicht geschlossen
38,25.8438464717,1.26197958466,BM 21 Schutzt?re S42 vorne rechts nicht geschlossen
39,21.3017966193,-2.41473537846,BM 22 Schutzt?re S43 vorne rechts nicht geschlossen
40,20.6779352527,3.51177652558,BM 300 FE9: Anlauf-Reset aktiv bei WT-Handling !
41,18.0366227763,13.2546352263,BM 34 Warnung Staubsauger f?r Absaugung am Laser
42,21.046298858,-1.8692159971,BM 342
43,24.1012221029,5.10631711183,BM 363 FE13 Sort. Schieber: Teil fehlt in Endlage (200+13-B11)
44,-3.21594173351,1.72298608273,BM 372 FE99: Reinigungsstation Fremdk?rper im WT -> entfernen und quittieren
45,21.476492299,-1.475036828,BM 384
46,22.1565854717,4.44447449265,BM 387 FE99: WT h?ngt am Stopper Wendeeinheit 2?
47,27.1137813219,5.42855531889,BM 389 FE99: WT h?ngt am Drehstopper Wendeeinheit?
48,22.8023725613,6.76012672782,BM 452 FE99: WT h?ngt am Stopper 1
49,-2.99422888589,7.24801072009,BM 452 FE99: WT h?ngt am Stopper 1  nach FE2
50,24.6023800328,1.01715199945,BM 454 FE99: Stopper 1 Laufzeit ?berschritten
51,4.4078858838,-2.86569355254,BM 454 FE99: WT unterwegs zu Modul 100
